lemme,freqlemfilms2,freqfilms2,CECRL,TO_REMOVE,Category_Informal,Category_Formal,Category_Top100,Category_Top500,Category_Administrative_Legal,Category_Office_Work,Category_Customer_Service,Category_Manufacturing_Industry,Category_Construction_Work,Category_Maintenance_Repair,Category_Cooking_Catering,Category_Health_Medical,Category_Tourism_Hospitality,Category_Sports
être,"32236,5","1849,07",A1,,,,X,X,,,,,,,,,,
avoir,"13572,4","5498,34",A1,,,,X,X,,,,,,,,,,
aller,"9992,77","89,81",A1,,,,X,X,,,,,,,,,,
faire,"8813,48","2735,96",A1,,,,X,X,,,,,,,,,,
se faire,,,A1,,,,,,,,,,,,,,,
dire,"5946,15","36,47",A1,,,,X,X,,,,,,,,,,
se dire,,,A2,,,,,,,,,,,,,,,
pouvoir,"5524,47","1209,64",A1,,,,X,X,,,,,,,,,,
vouloir,"5249,3","10,13",A1,,,,X,X,,,,,,,,,,
savoir,"4516,71","14,39",A1,,,,X,X,,,,,,,,,,
voir,"4119,43","78,66",A1,,,,X,X,,,,X,,,,,,
devoir,"3232,57","13,59",A1,,,,X,X,,,,X,,,,,,
venir,"2763,82","9,96",A1,,,,X,X,,,,X,,,,,,
suivre,"2090,54","1819,44",A2,,,,X,X,,,X,X,,,,,,
parler,"1970,55","2,71",A1,,,,X,X,,,,,,,,,,
prendre,"1913,83","0,01",A1,,,,X,X,,,,X,,,,,,
croire,"1711,99","5,43",A1,,,,X,X,,,,,,,,,,
aimer,"1655,07","0,41",A1,,,,X,X,,,,,,,,,,
falloir,"1653,76","110,88",A1,,,,X,X,,,,X,,,,,,
passer,"1495,49","3,79",A1,,,,X,X,,,,,,,,,,X
se passer,,,A2,,,,X,X,,,,,,,,,,X
penser,"1485,47","1,52",A1,,,,X,X,,,,X,,,,,,
attendre,"1351,46","173,86",A1,,,,X,X,,,,X,,,,,,
s'attendre,,,A2,,,,,,,,,,,,,,,
trouver,"1335,49","4,37",A1,,,,X,X,,,,X,,,,,,
se trouver,,,A1,,,,X,X,,,,X,,,,,,
laisser,"1334,1","2,52",A1,,,,X,X,,,,,,,,,,
arriver,"1252,42","5,75",A1,,,,X,X,,,,X,,,,,,
donner,"1209,67","6,28",A1,,,,X,X,,,,,,,,,,
regarder,"1197,29","2,18",A1,,,,X,X,,,,X,,,,,,
appeler,"1165,48","1,67",A1,,,,X,X,,,,X,,,,,,
s'appeler,,,A1,,,,X,,,,,,,,,,,
partir,"1111,97","109,45",A1,,,,X,X,,,,X,,,,,,
mettre,"1004,83","89,25",A1,,,,X,X,,,,X,,,,,,
rester,"1003,56","0,01",A1,,,,X,X,,,,X,,,,,,
arrêter,"993,79","1,68",A2,,,,X,X,,,,X,,,,,,
connaître,"961,03","415,87",A2,,,,X,X,,,,X,,,,,,
tuer,"928,06",2,A2,,,,X,X,,,,,,,,,,
mourir,"916,4","14,97",A2,,,,X,X,,,,,,,,,,
demander,"909,77","3,9",A2,,,,X,X,,,,X,,,,,,
se demander,,,A2,,,,,,,,,,,,,,,
comprendre,"893,51","0,61",A2,,,,X,,,,,X,,,,,,
sortir,"884,26","156,13",A1,,,,X,X,,,,X,,,,,,
entendre,"728,67","41,77",A2,,,,X,X,,,,X,,,,,,
chercher,"712,46","0,96",A1,,,,X,X,,,,X,,,,,,
aider,"688,71","0,81",A1,,,,X,X,,,X,X,,,,,,
essayer,"670,4","168,04",A2,,,,X,X,,,,X,,,,,,
revenir,"618,62","1,27",A2,,,,X,X,,,,X,,,,,,
plaire,"607,21","12,63",A2,,,,X,X,,,,,,,,,,
jouer,"570,12","0,8",A1,,,,X,X,,,,,,,,,,X
finir,"557,61","292,55",A1,,,,X,X,,,,X,,,,,,
perdre,"546,08","39,97",A2,,,,X,X,,,,,,,,,,
sentir,"535,4","240,85",A2,,,,X,X,,,,,,,,,,
rentrer,"532,51","1,11",A1,,,,X,X,,,,,,,,,,
vivre,"510,19","9,63",A2,,,,X,X,,,,,,,,,,
rendre,"508,81","82,91",A2,,,,X,X,,,,,,,,,,
se rendre,,,A2,,,,,X,,,,X,,,,,,
tenir,"504,69","3,56",A2,,,,X,X,,,,,,,,,,
se tenir,,,B1,,,,,,,,,,,,,,,
oublier,"486,96","0,58",A2,,,,X,X,,,,X,,,,,,
travailler,"479,49","0,56",A1,,,,X,X,,,,,,,,,,
écouter,"470,93","0,06",A1,,,,X,X,,,X,X,,,,,,
manger,"467,82","103,81",A1,,,,X,X,,,,,,,,,,
entrer,"450,11","0,01",A1,,,,X,X,,,,X,,,,,,
devenir,"438,57","1,76",A2,,,,X,X,,,,,,,,,,
commencer,"436,83","143,51",A1,,,,X,X,,,,X,,,,,,
payer,"416,68","53,51",A1,,,,X,X,,,,,,,,,,
tirer,"415,14","1,39",A2,,,,X,X,,,,,,,,,,X
ouvrir,"413,32","56,83",A1,,,,X,X,,,,,,,,,,
changer,"411,99","67,83",A2,,,,X,X,,,,,,,,,,
tomber,"407,82","4,17",A2,,,,X,X,,,,,,,,,,
foutre,"400,67","133,75",B2,,X,,X,,,,,,,,,,,
excuser,"399,19","0,02",A1,,,,X,X,,,,,,,,,,
dormir,"392,09","1,45",A2,,,,X,X,,,,,,,,,,
occuper,"375,14","0,1",A2,,,,X,X,,,,,,,,,,
s'occuper,,,A2,,,,,,,,,,,,,,,
marcher,"364,37","0,28",A1,,,,X,X,,,,X,,,,,,
envoyer,"360,16","5,89",A2,,,,X,X,,,,,,,,,,
apprendre,"348,47","0,74",A2,,,,X,X,,,,X,,,,,,
boire,"339,05","2,97",A1,,,,X,X,,,,,,,,,,
garder,"338,4","0,4",A2,,,,X,X,,,,X,,,,,,
montrer,"327,33","0,77",A2,,,,X,X,,,,X,,,,,,
asseoir,"322,71","65,1",B2,,,,,,,,,,,,,,,
s'asseoir,,,A2,,,,X,X,,,,,,,,,,
porter,"319,98","1,41",A1,,,,X,X,,,,,,,,,,
se souvenir,"315,05","0,1",A2,,,,X,X,,,,,,,,,,
prier,"313,12","0,52",B1,,,,X,X,,,,,,,,,,
servir,"309,81","44,58",A2,,,,X,X,,,X,,,,X,,X,X
se servir,,,B1,,,,,,,,X,,,,,,X,X
écrire,"305,92","1,77",A2,,,,X,X,,,,,,,,,,
espérer,"301,08","209,19",A2,,,,X,X,,,,,,,,,,
désoler,"297,27",0,B1,,,,X,X,,,,,,,,,,
retrouver,"295,17","1,6",A2,,,,X,X,,,,,,,,,,
gagner,"294,44","0,78",A2,,,,X,X,,,,,,,,,,
acheter,"290,7","0,37",A1,,,,X,X,,,,,,,,,,
rappeler,"281,75","0,36",A2,,,,X,,,,,,,,,,,
lire,"281,09","1,88",A1,,,,X,X,,,,,,,,,,
monter,"277,32","1,07",A1,,,,X,X,,,,X,,,,,,
quitter,"276,23","1,82",A2,,,,X,X,,,,,,,,,,
emmener,"272,71","0,89",A2,,,,X,X,,,,,,,,,,
toucher,"270,27","0,32",A2,,,,,X,,,,,,,,,,
continuer,"269,95","1,18",A2,,,,X,X,,,,,,,,,,
importer,"259,37","0,11",A2,,,,X,X,,,,,,,,,,
manquer,"253,94","0,79",A2,,,,X,X,,,,X,,,,,,
raconter,"253,84","1,08",A2,,,,X,X,,,,,,,,,,
répondre,"251,57","27,42",A1,,,,X,X,,,,,,,,,,
sauver,"246,54","0,61",B1,,,,,X,,,,,,,,,,
retourner,"245,35","1,14",A2,,,,X,X,,,,,,,,,,
rencontrer,"241,04","1,64",A2,,,,X,X,,,,,,,,,,
voler,"238,82","0,93",A2,,,,X,X,,,,,,,,,,
fermer,"238,65","0,59",A1,,,,X,X,,,,,,,,,,
valoir,"236,07","3,04",B1,,,,,X,,,,,,,,,,
descendre,"235,97","26,09",A1,,,,,X,,,,X,,,,,,
suffire,"232,08","4,52",B1,,,,,X,,,,,,,,,,
sembler,"229,25","0,87",B1,,,,,X,,,,,,,,,,
compter,"227,78","0,95",A2,,,,,X,X,,,,,,,,,
marier,"220,51","19,11",A2,,,,,X,,,,,,,,,,
poser,"217,2","1,77",A2,,,,,X,,,,,,,,,,
inquiéter,"212,16","114,06",A2,,,,,X,,,,,,,,,,
bouger,"211,9","85,45",A2,,,,,X,,,,,,,,,,
apporter,"209,91","0,93",A2,,,,,X,,,,,,,,,,
décider,"207,76","3,86",A2,,,,,X,,,,,,,,,,
se décider,,,B2,,,,,,,,,,,,,,,
vendre,"206,95","22,75",A2,,,,,X,,,X,,,,,,,
tourner,"204,15","0,43",A2,,,,,X,,,,X,,,X,,X,
cacher,"204,13","1,13",A2,,,,,X,,,,,,,,,,
expliquer,"200,93","0,07",A2,,,,,X,,,,X,,,,,,
battre,"200,35","27,36",A2,,,,,X,,,,,,,,,,
se battre,,,B2,,,,,,,,,,,,,,,
agir,"195,94","13,69",B1,,,,,,,,,,,,,,,
imaginer,"194,29","0,29",B1,,,,,X,,,,,,,,,,
adorer,"193,67","0,06",A2,,,,,X,,,,,,,,,,
recevoir,"192,73","0,32",A2,,,,,X,,,,X,,,,,,
jeter,"192,18","1,63",B1,,,,,X,,,,,,,,,,
pleurer,"191,64","0,81",B1,,,,,X,,,,,,,,,,
amener,"190,32","0,74",B1,,,,,X,,,,,,,,,,
promettre,"185,26","8,16",B1,,,,,X,,,,,,,,,,
mentir,"185,16","42,12",B1,,,,,X,,,,,,,,,,
utiliser,"182,44","0,23",B1,,,,,X,,,,X,,,,,,
coucher,"181,96","0,41",B1,,,,,,,,,,,,,,,
préférer,"179,44","90,34",A1,,,,,X,,,,X,,,,,,
offrir,"177,8","34,01",A2,,,,,X,,,,,,,,,,
réveiller,"175,94","0,46",A2,,,,,X,,,,,,,,,,
préparer,"174,33","0,3",A1,,,,,X,,,,X,,,,,,
permettre,"172,86","22,88",B1,,,,,X,,,,X,,,,,,
ramener,"172,7","0,7",B1,,,,,,,,,,,,,,,
enlever,"172,47","0,22",B1,,,,,X,,,,X,,,,,,
lâcher,"171,08","0,03",B2,,,,,X,,,,X,,,,,,
choisir,"170,48","58,19",A2,,,,,X,,,,X,,,,,,
conduire,"169,64","3,67",A2,,,,,X,,,,,,,,,,
se conduire,,,B1,,,,,,,,,,,,,,,
calmer,"168,54","0,04",B1,,,,,,,,,,,,,X,,
chanter,"166,34","0,43",A2,,,,,X,,,,,,,,,,
disparaître,"166,13","8,97",B1,,,,,X,,,,,,,,,,
lever,"165,98","1,28",B1,,,,,,,,,,,,,,,
se lever,,,A2,,,,,X,,,,,,,,,,
présenter,"165,88","0,93",A2,,,,,X,,X,,,,,,,,
accepter,"165,84","0,82",A2,,,,,X,,,,,,,,,,
revoir,"162,84","14,31",B1,,,,,,,,,,,,,,,
casser,"160,61","0,12",B1,,,,,X,,,,,,,,,,
frapper,"160,04","1,64",B1,,,,,,,,,,,,,,,X
ignorer,"156,55","0,26",B1,,,,,X,,,,,,,,,,
couper,"155,82","0,69",B1,,,,,X,,,,,,,,,,
taire,"154,46","0,22",B1,,,,,,,,,,,,,,,
tromper,"149,09","0,16",B1,,,,,,,,,,,,,,,
se tromper,,,A2,,,,,X,,,,,,,,,,
ressembler,"148,62",0,B1,,,,,X,,,,,,,,,,
jurer,"148,41","0,2",B2,,,,,,,,,,,,,,,
courir,"146,5","1,54",A2,,,,,X,,,,,,,,,,X
remettre,"144,99","12,56",B1,,,,,X,,,,X,,X,,,,
refuser,"143,96",0,A2,,,,,X,,,,,,,,,,
terminer,"142,38","0,28",A2,,,,,X,,,,X,,,,,,
amuser,"141,41","0,11",B1,,,,,,,,,,,,,,,
s'amuser,,,B1,,,,,,,,,,,,,,,
intéresser,"140,8","0,02",A2,,,,,X,,,,,,,,,,
reconnaître,"140,73",0,B1,,,,,,,,,,,,,,,
rire,"140,24","8,22",B1,,,,,,,,,,,,,,,
pardonner,"139,46","0,04",A2,,,,,X,,,,,,,,,,
embrasser,"138,97","0,81",A2,,,,,,,,,,,,,,,
danser,"137,36","0,07",A1,,,,,X,,,,,,,,,,
exister,"136,24",0,B1,,,,,,,,,,,,,,,
réussir,"131,88","78,63",B1,,,,,,,,,X,,,,,,
protéger,"130,71","27,45",B1,,,,,,,,,,,,,,,
prévenir,"129,28",0,B1,,,,,,,,,,,,,,,
habiter,"128,3","0,02",A1,,,,,X,,,,,,,,,,
déranger,"126,95","63,69",B1,,,,,,,,,,,,,,,
reprendre,"126,92","0,14",B1,,,,,,,,,,,,,,,
détruire,"126,08","2,67",B1,,,,,,,,,,,,,,,
pousser,"125,61","0,98",B1,,,,,,,,,,,,,,,
découvrir,"124,2","46,22",B1,,,,,,,,,,,,,,,
sauter,"123,03","0,84",B1,,,,,X,,,,,,,X,,,X
rêver,"122,95","0,03",A2,,,,,X,,,,,,,,,,
détester,"122,87","0,11",A1,,,,,X,,,,,,,,,,
paraître,"122,14","1,26",B1,,,,,,,,,,,,,,,
empêcher,"121,85","0,35",B1,,,,,,,,,,,,,,,
maintenir,"121,32","0,23",B1,,,,,,,,,X,,,,,,
supposer,"120,31","0,02",B1,,,,,,,,,,,,,,,
épouser,"118,78","0,88",B1,,,,,,,,,,,,,,,
approcher,"117,65","1,09",B1,,,,,,,,,,,,,,,
craindre,"117,44","0,82",B2,,,,,,,,,,,,,,,
crier,"116,94","1,2",A2,,,,,X,,,,,,,,,,
inviter,"116,83","0,45",A2,,,,,X,,,,,,,,,,
réfléchir,"116,71","27,23",B1,,,,,,,,,,,,,,,
arranger,"116,14","22,14",B1,,,,,,,,,,,,,,,
naître,"116,11","0,57",A2,,,,,X,,,,,,,,,,
souffrir,"113,83","18,45",B1,,,,,,,,,,,,,X,,
remercier,"113,7","0,04",A2,,,,,X,,,,,,,,,,
baiser,"112,82",0,B2,,,,,,,,,,,,,,,
attraper,"112,52","0,16",B1,,,,,X,,,,,,,,,,
dépêcher,"111,44",0,B1,,,,,,,,,,,,,,,
se dépêcher,,,B1,,,,,,,,,X,,,,,,
abandonner,"110,87","0,59",B2,,,,,,,,,,,,,,,
vérifier,"110,87","0,04",B1,,,,,,X,,,X,,,,,,
brûler,"110,28","0,76",B1,,,,,,,,,,,,,,,
assurer,"107,71","0,22",B1,,,,,,,,,X,,,,,,
traiter,"104,04","0,38",B1,,,,,,,,X,,,,,X,,
blesser,"103,74","0,3",B1,,,,,,,,,,,,,,,
dégager,"102,47","56,41",B2,,,,,,,,,,,,,,,
filer,"100,97","0,41",B1,,X,,,,,,,,,,,,,
risquer,"100,4","0,45",B1,,,,,,,,,,,,,,,
mener,"99,86","0,4",B1,,,,,,,,,,,,,,,
attaquer,"99,63","0,26",B1,,,,,,,,,,,,,,,X
fumer,"98,49","0,24",B1,,,,,,,,,,,,,,,
répéter,"98,31","45,14",A1,,,,,X,,,,,,,,,,
signer,"98,19","0,29",B1,,,,,,X,,,,,,,,,
ficher,"97,84","0,01",B1,,X,,,,,,,,,,,,,
mériter,"97,06",0,B1,,,,,,,,,,,,,,,
rejoindre,"96,98","0,15",B1,,,,,,,,,,,,,,,
discuter,"96,42","0,01",B1,,,,,,,,,,,,,,,
avancer,"95,62","30,92",B1,,,,,,,,,,,,,,,
reposer,"95,2","0,03",B1,,,,,,,,,,,,,,,
se reposer,,,B1,,,,,,,,,,,,,,,
échapper,"95,07","0,28",B2,,,,,,,,,,,,,,,
charger,"93,02","28,43",B1,,,,,,,,,X,,,,,,
se charger,,,B1,,,,,,,,,X,,,,,,
obliger,"91,63","14,74",B1,,,,,,,,,,,,,,,
accompagner,"90,56","0,15",B1,,,,,,,,X,,,,,,,
oser,"90,2","0,05",B2,,,,,,,,,,,,,,,
regretter,"89,11","0,15",B1,,,,,,,,,,,,,,,
prouver,"88,83","0,04",B1,,,,,,,,,,,,,,,
couvrir,"88,29","14,62",B1,,,,,,,,,,,,,,,
obtenir,"88,08","0,04",B1,,,,,,,,,,,,,,,
éviter,"87,47","0,03",B1,,,,,,,,,X,,,,,,
plaisanter,"87,13",0,B1,,,,,,,,,,,,,,,
